"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"375","Mark All Settled","","partial","Mark Settled","src/components/dashboard/DashboardOverview.tsx:660"
"376","Mark Finished (Soft Override)","","partial","Mark Soft Override","src/components/pipeline/StatusPipelineView.tsx:1493"
"377","Mark Paid","","partial","Mark","src/components/finance/ShopFinancePlModule.tsx:861"
"378","Message Shop & Technician","","partial","Message Shop","src/components/portal/CustomerFacingWebPortal.tsx:588"
"379","Mobile Repair Shop Margin Benchmark (50% – 70% Target)","","partial","Mobile Repair Shop Benchmark Target","src/components/finance/ShopFinancePlModule.tsx:484"
"380","Models ·","","partial","s","src/components/dashboard/DashboardOverview.tsx:1384"
"381","Models & Prices (","","partial","s","src/components/prices/PriceSettingsModal.tsx:450"
"382","Modify Price Catalog","","partial","Modify","src/components/settings/SystemManagementSettingsModule.tsx:3846"
"383","Move Ticket to Recycle Bin?","","partial","Move Ticket to","src/components/intake/IntakeWorkOrderModule.tsx:881"
"384","Need support? Call","","partial","Need support","src/components/portal/CustomerFacingWebPortal.tsx:300"
"385","New category, e.g. Camera","","partial","category e g","src/components/settings/SystemManagementSettingsModule.tsx:2407"
"386","New conversation","","partial","conversation","src/components/ai/AiDiagnosticAssistantModal.tsx:468; src/components/ai/AiDiagnosticAssistantModal.tsx:468"
"387","New intakes pending diagnostic inspection are hidden. Work orders automatically appear here in POS after diagnostic testing is completed.","","partial","intakes diagnostic inspection are hidden Work orders automatically appear here in after testing is completed","src/components/pos/PosInvoicingModule.tsx:413"
"388","New quality tier","","partial","quality tier","src/components/settings/SystemManagementSettingsModule.tsx:2501"
"389","New Template","","partial","Template","src/components/settings/SystemManagementSettingsModule.tsx:3045"
"390","Next Callback:","","partial","back","src/components/followup/CompletedDeviceFollowUpModule.tsx:863"
"391","Next Follow-Up Date (Optional)","","partial","Optional","src/components/followup/CompletedDeviceFollowUpModule.tsx:754"
"392","No active repairs in queue.","","partial","active repairs in queue","src/components/dashboard/TechnicianDetailModal.tsx:186"
"393","No active repairs in queue. Ready for new tickets.","","partial","active repairs in queue Ready for new tickets","src/components/dashboard/TechnicianPerformanceTab.tsx:272"
"394","No Answer / Left Msg","","partial","Answer Left Msg","src/components/followup/CompletedDeviceFollowUpModule.tsx:208"
"395","No completed repairs in the selected period.","","partial","completed repairs in the selected period","src/components/dashboard/TechnicianDetailModal.tsx:214"
"396","No completed repairs in this period","","partial","completed repairs in this period","src/components/dashboard/DashboardOverview.tsx:1650"
"397","No completed tickets found","","partial","completed tickets found","src/components/followup/CompletedDeviceFollowUpModule.tsx:384"
"398","No customer accounts found","","partial","customer accounts found","src/components/crm/CrmCustomerPortalModule.tsx:185"
"399","No Devices with Finished Diagnostics","","partial","s with","src/components/pos/PosInvoicingModule.tsx:411"
"400","No display, battery, or logic board micro-soldering parts are currently low.","","partial","display battery or logic board micro soldering parts are currently low","src/components/dashboard/DashboardOverview.tsx:1558"
"401","No Finished Device Selected","","partial","ed","src/components/pos/PosInvoicingModule.tsx:1148"
"402","No Finished Devices Pending QA Control","","partial","s Control","src/components/qa/QualityAssuranceModule.tsx:238"
"403","No items pending action","","partial","action","src/components/settings/SystemManagementSettingsModule.tsx:3346"
"404","No Logo Set","","partial","Logo Set","src/components/settings/SystemManagementSettingsModule.tsx:1258"
"405","No matching archived tickets found","","partial","matching archived tickets found","src/components/common/RecycleBinModal.tsx:153"
"406","No matching device models found","","partial","matching device models found","src/components/devices/DeviceModelChooserModal.tsx:230"
"407","No matching hardware devices found","","partial","matching hardware devices found","src/components/devices/DevicesManagementModule.tsx:525"
"408","No messages sent yet. Use the box below to ask any question or leave instructions for the repair team.","","partial","messages sent yet Use the box below to ask any question or leave instructions for repair team","src/components/portal/CustomerFacingWebPortal.tsx:905"
"409","No parts are assigned to this bin yet.","","partial","parts are assigned to this yet","src/components/settings/SystemManagementSettingsModule.tsx:2563"
"410","No parts in stock","","partial","parts in stock","src/components/pos/PosInvoicingModule.tsx:704"
"411","No parts sold in this period","","partial","parts sold in this period","src/components/finance/ShopFinancePlModule.tsx:1311"
"412","No parts used from inventory in this period","","partial","parts used from inventory in this period","src/components/finance/ShopFinancePlModule.tsx:1251"
"413","No payment methods enabled","","partial","payment methods enabled","src/components/pos/PosInvoicingModule.tsx:806"
"414","No pending changes to save.","","partial","changes to save","src/components/inventory/InventoryManagementModule.tsx:2549"
"415","No previous-period data","","partial","previous period data","src/components/dashboard/DashboardOverview.tsx:1642"
"416","No priced services match filter","","partial","priced services match filter","src/components/prices/QuickPriceCalculatorModal.tsx:395"
"417","No public log updates recorded yet.","","partial","public log updates recorded yet","src/components/portal/CustomerFacingWebPortal.tsx:653"
"418","No repair history matched your search filter.","","partial","repair history matched your search filter","src/components/crm/CustomerRepairTimeline.tsx:462"
"419","No repair history recorded for this customer account.","","partial","repair history recorded for this customer account","src/components/crm/CustomerRepairTimeline.tsx:171"
"420","No repair history recorded for this customer.","","partial","repair history recorded for this customer","src/components/crm/CrmCustomerPortalModule.tsx:331"
"421","No repair logs yet","","partial","repair logs yet","src/components/common/TicketDetailInspectorModal.tsx:432"
"422","No Repair Tickets Found","","partial","Repair Tickets Found","src/components/intake/IntakeWorkOrderModule.tsx:413"
"423","No repair tickets in the selected date range.","","partial","repair tickets in the selected date range","src/components/dashboard/DashboardOverview.tsx:1391; src/components/dashboard/DashboardOverview.tsx:1439"
"424","No repairs selected. Click ""+ Add Repairs"" to build the estimate.","","partial","repairs selected Click to build the estimate","src/components/intake/CreateTicketSoloPage.tsx:1033"
"425","No saved bins yet.","","partial","saved bins yet","src/components/settings/SystemManagementSettingsModule.tsx:2569"
"426","No services found for","","partial","services found for","src/components/prices/PriceCatalogModule.tsx:496"
"427","No services selected yet","","partial","services selected yet","src/components/prices/QuickPriceCalculatorModal.tsx:484"
"428","No Status Transition Events Found","","partial","Transition Events Found","src/components/common/WorkOrderStatusTimeline.tsx:675"
"429","No suppliers yet.","","partial","suppliers yet","src/components/settings/SystemManagementSettingsModule.tsx:2488"
"430","No Technical Staff Records Found","","partial","Technical Records Found","src/components/settings/SystemManagementSettingsModule.tsx:1871"
"431","No technicians found","","partial","technicians found","src/components/dashboard/TechnicianPerformanceTab.tsx:322"
"432","No Technicians Registered","","partial","Registered","src/components/settings/SystemManagementSettingsModule.tsx:1830"
"433","No technicians yet","","partial","technicians yet","src/components/dashboard/TechnicianLeaderboardView.tsx:89"
"434","No thermal printer required","","partial","thermal printer required","src/components/settings/SystemManagementSettingsModule.tsx:2726"
"435","No tickets in","","partial","tickets in","src/components/pipeline/StatusPipelineView.tsx:550"
"436","No tickets with parts in this period","","partial","tickets with parts in this period","src/components/finance/ShopFinancePlModule.tsx:1351"
"437","No Work Orders in Queue Matching Selection","","partial","in Queue Matching ion","src/components/dashboard/DashboardOverview.tsx:1224"
"438","No Work Orders Matching Warranty Criteria","","partial","Matching Warranty Criteria","src/components/dashboard/DashboardOverview.tsx:1896"
"439","No. 123 Sule Pagoda Road, Downtown Tech Plaza, Yangon","","partial","Sule Pagoda Road Downtown Tech Plaza Yangon","src/components/settings/SystemManagementSettingsModule.tsx:1518"
"440","Normal","","partial","rmal","src/components/dashboard/DashboardOverview.tsx:1199"
"441","Note e.g. TrueTone OK","","partial","e g TrueTone","src/components/pipeline/StatusPipelineView.tsx:1277"
"442","Notification Message Templates (မြန်မာဘာသာ)","","partial","tification Message Templates","src/components/common/CustomerNotificationModal.tsx:186"
"443","Notify","","partial","tify","src/components/pipeline/StatusPipelineView.tsx:680"
"444","Notify Customer","","partial","tify","src/components/pos/PosInvoicingModule.tsx:550"
"445","Official breakdown of required replacement components and repair labor","","partial","icial breakdown of required replacement components and repair labor","src/components/portal/CustomerFacingWebPortal.tsx:732"
"446","Official Colors for","","partial","icial Colors for","src/components/intake/CreateTicketSoloPage.tsx:1352"
"447","Official Service Invoice & Voucher","","partial","icial Service","src/components/common/PrintableInvoiceModal.tsx:175"
"448","ON (Locked)","","partial","Locked","src/components/devices/DevicesManagementModule.tsx:764"
"449","On-the-Spot Customer Quote","","partial","On the Spot Quote","src/components/prices/QuickPriceCalculatorModal.tsx:298"
"450","Only finished repairs appear in POS. Select a finished work order from the left list to process payment and automatically transition status to Taken Out.","","partial","Only finished repairs appear in a work order from the left list to process payment and automatically transition status","src/components/pos/PosInvoicingModule.tsx:1150"
"451","Open Customer Dossier in CRM","","partial","Dossier in","src/components/dashboard/DashboardOverview.tsx:2012"
"452","Open Full Repair History Modal","","partial","Full Modal","src/components/crm/CrmCustomerPortalModule.tsx:254"
"453","Open Interactive Pipeline","","partial","Interactive","src/components/dashboard/DashboardOverview.tsx:1091"
"454","Open print in new window if direct print is blocked","","partial","print in new window if direct is blocked","src/components/common/PrintableInvoiceModal.tsx:185"
"455","Open Settings → Payment Methods","","partial","s","src/components/pos/PosInvoicingModule.tsx:800"
"456","Open Shop Finance","","partial","Shop","src/components/dashboard/DashboardOverview.tsx:1680"
"457","OpenRouter","","partial","Router","src/components/settings/SystemManagementSettingsModule.tsx:930"
"458","Operating Expenses (OpEx)","","partial","Operating OpEx","src/components/finance/ShopFinancePlModule.tsx:444"
"459","Operating Expenses (OpEx) & Fixed Shop Overhead","","partial","Operating OpEx Fixed Shop Overhead","src/components/finance/ShopFinancePlModule.tsx:692"
"460","Overall Discount","","partial","Overall","src/components/intake/CreateTicketSoloPage.tsx:1053"
"461","Overdue Invoices","","partial","s","src/components/finance/ShopFinancePlModule.tsx:576"
"462","Owner / Customer","","partial","Owner","src/components/devices/DevicesManagementModule.tsx:410; src/components/devices/DevicesManagementModule.tsx:667"
"463","Parts & Assembly","","partial","Assembly","src/components/portal/CustomerFacingWebPortal.tsx:504"
"464","Parts cost used from stock — settle Inventory Fund","","partial","cost used from stock settle Fund","src/components/pos/PosInvoicingModule.tsx:783"
"465","Parts Inventory Capital Valuation & Stock Turnover","","partial","Capital Valuation Turnover","src/components/finance/ShopFinancePlModule.tsx:748"
"466","Parts Profit","","partial","Profit","src/components/finance/ShopFinancePlModule.tsx:1292; src/components/finance/ShopFinancePlModule.tsx:1364"
"467","Parts Profit:","","partial","Profit","src/components/finance/ShopFinancePlModule.tsx:435"
"468","Parts Revenue & Profit","","partial","Profit","src/components/finance/ShopFinancePlModule.tsx:1263"
"469","Parts Sales:","","partial","Sales","src/components/finance/ShopFinancePlModule.tsx:405"
"470","Parts Sold by Ticket (","","partial","Sold by Ticket","src/components/finance/ShopFinancePlModule.tsx:1348"
"471","Parts sold on repair tickets will appear here grouped by category.","","partial","sold on repair tickets will appear here grouped by category","src/components/finance/ShopFinancePlModule.tsx:1312"
"472","Parts Sold This Period:","","partial","Sold This Period","src/components/finance/ShopFinancePlModule.tsx:1269"
"473","Parts taken from stock are an internal debt to the shop's parts fund. Settle once the money is set aside or replacement stock is bought.","","partial","taken from stock are an internal debt to the shop s parts fund Settle once money is set aside or replacement bought","src/components/finance/ShopFinancePlModule.tsx:1160"
"474","Parts Units","","partial","Units","src/components/finance/ShopFinancePlModule.tsx:1361"
"475","Parts with quantity equal to or below this count will trigger amber warning badges across the inventory matrix.","","partial","with quantity equal to or below this count will trigger amber warning badges across the inventory","src/components/settings/SystemManagementSettingsModule.tsx:2588"
"476","Pay & Print Receipt","","partial","Pay Receipt","src/components/pos/PosInvoicingModule.tsx:1139; src/components/pos/PosInvoicingModule.tsx:1174"
"477","Payee / Vendor Name","","partial","Payee","src/components/finance/ShopFinancePlModule.tsx:1042"
"478","Payment Amount (MMK)","","partial","Payment","src/components/finance/ShopFinancePlModule.tsx:1100"
"479","Payment Method Selection (","","partial","ion","src/components/pos/PosInvoicingModule.tsx:798"
"480","Payment Note / Receipt Reference","","partial","Payment Receipt Reference","src/components/finance/ShopFinancePlModule.tsx:1123"
"481","Payment Status:","","partial","Payment","src/components/portal/CustomerFacingWebPortal.tsx:694"
"482","Pending (Waiting Parts / Client)","","partial","Waiting Client","src/components/common/WorkOrderStatusTimeline.tsx:425"
"483","Pending Follow-up","","partial","Follow up","src/components/followup/CompletedDeviceFollowUpModule.tsx:230"
"484","Pending Settlement","","partial","Settlement","src/components/finance/ShopFinancePlModule.tsx:1170"
"485","Pending Tickets Settled (","","partial","Tickets Settled","src/components/finance/ShopFinancePlModule.tsx:1188"
"486","Pending Vendor RMAs","","partial","RMAs","src/components/dashboard/DashboardOverview.tsx:1524"
"487","Percentage Change (%)","","partial","Percentage","src/components/prices/PriceSettingsModal.tsx:1097"
"488","Period Revenue:","","partial","Period","src/components/finance/ShopFinancePlModule.tsx:612"
"489","Permanently Delete","","partial","Permanently","src/components/common/RecycleBinModal.tsx:201"
"490","Permanently Delete Ticket?","","partial","Permanently Ticket","src/components/common/RecycleBinModal.tsx:264"
"491","Permissions & Capabilities","","partial","Capabilities","src/components/settings/SystemManagementSettingsModule.tsx:3737"
"492","Persistent Notice • Non-dismissible until inspection complete","","partial","Persistent tice n dismissible until inspection complete","src/App.tsx:2009"
"493","Pipeline status changes and technician updates will appear here.","","partial","status changes and technician updates will appear here","src/components/common/TicketDetailInspectorModal.tsx:434"
"494","Plain text only. Select text in a line (or place the cursor there), then choose its alignment. Line breaks and text size are kept in the A4 print.","","partial","Plain text only in a line or place the cursor there then choose its alignment Line breaks and size are kept print","src/components/settings/SystemManagementSettingsModule.tsx:2815"
"495","Popout Print","","partial","Popout","src/components/common/PrintableInvoiceModal.tsx:189"
"496","POS & Document Print Layout Settings","","partial","Document Layout","src/components/settings/SystemManagementSettingsModule.tsx:2636"
"497","POS Cashout Required for Taken Out:","","partial","Cashout Required for","src/components/common/WorkOrderStatusTimeline.tsx:462"
"498","Post-Repair Diagnostic Quality Check Pending","","partial","Post Repair Diagnostic Check","src/components/pipeline/StatusPipelineView.tsx:599"
"499","Potential Margin","","partial","Potential","src/components/finance/ShopFinancePlModule.tsx:769"
"500","Price & Location","","partial","Location","src/components/inventory/InventoryManagementModule.tsx:1883"
"501","Price Catalog & Global Preferences","","partial","Global Preferences","src/components/prices/PriceSettingsModal.tsx:422"
"502","Price Catalog Repair Selector (","","partial","Repair or","src/components/intake/CreateTicketSoloPage.tsx:1465"
"503","Price exceeds budget / Cancel repair","","partial","exceeds budget repair","src/components/portal/CustomerFacingWebPortal.tsx:1038"
"504","Price Storage & Sync Notice","","partial","Storage Sync tice","src/components/prices/PriceSettingsModal.tsx:1228"
"505","Primary phone is used as main contact line. Additional lines appear on job vouchers, sticker tags, receipts, and invoices.","","partial","Primary phone is used as main contact line itional lines appear on job vouchers sticker tags receipts and invoices","src/components/settings/SystemManagementSettingsModule.tsx:1463"
"506","Primary Print Layout Standards","","partial","Primary Layout Standards","src/components/settings/SystemManagementSettingsModule.tsx:2724"
"507","Print Device Label Tag","","partial","Label Tag","src/components/dashboard/DashboardOverview.tsx:1348"
"508","Print Device Tag","","partial","Tag","src/components/devices/DevicesManagementModule.tsx:511"
"509","Print Digital Voucher Receipt","","partial","Digital Receipt","src/components/portal/CustomerFacingWebPortal.tsx:451"
"510","Print disclaimer and authorization lines.","","partial","disclaimer and authorization lines","src/components/settings/SystemManagementSettingsModule.tsx:3006"
"511","Print ground stock checking sheet","","partial","ground stock checking sheet","src/components/inventory/InventoryManagementModule.tsx:1450"
"512","Print Itemized Invoice","","partial","ized","src/components/pos/PosInvoicingModule.tsx:1118"
"513","Print pre-repair diagnostic inspection grid.","","partial","pre repair diagnostic inspection grid","src/components/settings/SystemManagementSettingsModule.tsx:2980"
"514","Print Receipt","","partial","Receipt","src/components/pos/PosInvoicingModule.tsx:1391"
"515","Print requested repair charges & subtotal.","","partial","requested repair charges subtotal","src/components/settings/SystemManagementSettingsModule.tsx:2993"
"516","Print Selected (","","partial","ed","src/components/inventory/InventoryManagementModule.tsx:2897"
"517","Print Slip","","partial","Slip","src/components/prices/QuickPriceCalculatorModal.tsx:672"
"518","Print spare parts tags (A4)","","partial","spare parts tags","src/components/inventory/InventoryManagementModule.tsx:991"
"519","Print sticker","","partial","sticker","src/components/common/TicketDetailInspectorModal.tsx:172; src/components/intake/IntakeWorkOrderModule.tsx:636; src/components/intake/IntakeWorkOrderModule.tsx:641"
"520","Print Sticker Tag Voucher","","partial","Sticker Tag","src/components/intake/CreateTicketSoloPage.tsx:576"
"521","Print Stock Sheet","","partial","Sheet","src/components/inventory/InventoryManagementModule.tsx:1453"
"522","Print Tags","","partial","s","src/components/inventory/InventoryManagementModule.tsx:994"
"523","Print ticket sticker","","partial","ticket sticker","src/components/common/TicketDetailInspectorModal.tsx:171; src/components/intake/IntakeWorkOrderModule.tsx:635"
"524","Priority First","","partial","First","src/components/intake/IntakeWorkOrderModule.tsx:401"
"525","Profit by Parts Category","","partial","Profit by","src/components/finance/ShopFinancePlModule.tsx:1307"
"526","Projected Margin: +","","partial","Projected","src/components/inventory/InventoryManagementModule.tsx:1085"
"527","Projected Profit Margin per Unit:","","partial","Projected per Unit","src/components/inventory/InventoryManagementModule.tsx:1818"
"528","QA Checklist Passed","","partial","Passed","src/components/crm/CustomerRepairTimeline.tsx:375"
"529","QA Inspection Confirmed! Card updated to Green & Ready for Checkout.","","partial","ed Card updated to Green Ready for","src/components/qa/QualityAssuranceModule.tsx:338"
"530","QA Inspection Summary Note","","partial","Summary","src/components/pipeline/StatusPipelineView.tsx:1285"
"531","QA Inspector Technician","","partial","Inspector","src/components/qa/QualityAssuranceModule.tsx:466"
"532","QA Inspector Verification Notes","","partial","Inspector Verification","src/components/qa/QualityAssuranceModule.tsx:485"
"533","Quality Assurance (QA) & Warranty 21-Point Inspection","","partial","Assurance Warranty Point Inspection","src/components/qa/QualityAssuranceModule.tsx:214"
"534","Quality Check","","partial","Check","src/components/portal/CustomerFacingWebPortal.tsx:517"
"535","Quality Tiers","","partial","s","src/components/settings/SystemManagementSettingsModule.tsx:2495"
"536","Quick Bundle Discounts","","partial","Quick Bundle s","src/components/prices/QuickPriceCalculatorModal.tsx:525"
"537","Quick glance — full revenue, expenses, commissions & inventory fund details live in Shop Finance.","","partial","Quick glance full revenue expenses commissions inventory fund details live in Shop","src/components/dashboard/DashboardOverview.tsx:1693"
"538","Quick glance — full stock, profit & matrix views live in the Parts Inventory module.","","partial","Quick glance full stock profit views live in the module","src/components/dashboard/DashboardOverview.tsx:1551"
"539","Quick Price Calculator & Estimate Generator","","partial","Generator","src/components/prices/QuickPriceCalculatorModal.tsx:295"
"540","Quick Register Supplier Vendor","","partial","Quick Register","src/components/inventory/InventoryManagementModule.tsx:2240"
"541","Ranked by verified completed repairs (Finished / Taken Out) in the selected period — live from work orders.","","partial","Ranked by verified completed repairs in the selected period live from work orders","src/components/dashboard/TechnicianLeaderboardView.tsx:51"
"542","Real Model Verified","","partial","Real Verified","src/components/intake/CreateTicketSoloPage.tsx:778"
"543","Real-Time Repair History & Logs","","partial","Real Logs","src/components/portal/CustomerFacingWebPortal.tsx:638"
"544","Realistic Color (0 Palette)","","partial","Palette","src/components/intake/CreateTicketSoloPage.tsx:817"
"545","Receipt / Note Reference","","partial","Receipt Reference","src/components/settings/SystemManagementSettingsModule.tsx:2344"
"546","Receipt Footer Terms & Warranty Note","","partial","Receipt Footer Terms Warranty","src/components/settings/SystemManagementSettingsModule.tsx:2803"
"547","Receive (Intake & Inspection)","","partial","Intake Inspection","src/components/common/WorkOrderStatusTimeline.tsx:423"
"548","Reception Role","","partial","Reception","src/components/settings/SystemManagementSettingsModule.tsx:1106"
"549","Recipient Phone:","","partial","Recipient","src/components/common/CustomerNotificationModal.tsx:226"
"550","Record Expense","","partial","Record","src/components/finance/ShopFinancePlModule.tsx:339"
"551","Record Follow-Up Call","","partial","Record","src/components/followup/CompletedDeviceFollowUpModule.tsx:585"
"552","Record New Shop Operating Expense (OpEx)","","partial","Record Shop Operating OpEx","src/components/finance/ShopFinancePlModule.tsx:966"
"553","Record Status Transition or Technical Audit Entry","","partial","Record Transition or Technical Audit Entry","src/components/common/WorkOrderStatusTimeline.tsx:404"
"554","Record Supplier Debt Payment","","partial","Record Debt Payment","src/components/finance/ShopFinancePlModule.tsx:1078"
"555","Recycle Bin & Archive","","partial","Archive","src/components/common/RecycleBinModal.tsx:58"
"556","Recycle Bin & Archive Management","","partial","Archive Management","src/components/settings/SystemManagementSettingsModule.tsx:3303"
"557","Recycle Bin is Empty","","partial","is Empty","src/components/common/RecycleBinModal.tsx:145"
"558","Register & Create Ticket","","partial","Register","src/components/devices/DevicesManagementModule.tsx:781"
"559","Register Hardware Device","","partial","Register Hardware","src/components/devices/DevicesManagementModule.tsx:655"
"560","Register New Hardware Component","","partial","Register Hardware Component","src/components/inventory/InventoryManagementModule.tsx:1538"
"561","Register New Supplier Vendor","","partial","Register","src/components/suppliers/SupplierRmaModule.tsx:499"
"562","Register Supplier","","partial","Register","src/components/suppliers/SupplierRmaModule.tsx:362"
"563","Registered Devices","","partial","Registered s","src/components/devices/DevicesManagementModule.tsx:267"
"564","Remove all tickets","","partial","all tickets","src/components/intake/IntakeWorkOrderModule.tsx:383"
"565","Remove inventory part","","partial","inventory part","src/components/pos/PosInvoicingModule.tsx:657"
"566","Remove item","","partial","item","src/components/prices/PriceCatalogModule.tsx:663; src/components/prices/PriceCatalogModule.tsx:759"
"567","Remove Logo","","partial","Logo","src/components/settings/SystemManagementSettingsModule.tsx:1270"
"568","Remove Phone Line","","partial","Line","src/components/settings/SystemManagementSettingsModule.tsx:1454"
"569","Remove service","","partial","service","src/components/prices/QuickPriceCalculatorModal.tsx:512"
"570","Remove split method","","partial","split method","src/components/pos/PosInvoicingModule.tsx:945"
"571","Rename Model","","partial","Rename","src/components/prices/PriceSettingsModal.tsx:566"
"572","Rename Quality Tier","","partial","Rename","src/components/inventory/InventoryManagementModule.tsx:2448"
"573","Reorder Point Threshold","","partial","Threshold","src/components/inventory/InventoryManagementModule.tsx:1944"
"574","Repair Category","","partial","Repair","src/components/common/TicketDetailInspectorModal.tsx:259"
"575","Repair Category / Component","","partial","Repair Component","src/components/prices/PriceSettingsModal.tsx:677"
"576","Repair Category:","","partial","Repair","src/components/qa/QualityAssuranceModule.tsx:352"
"577","Repair Item","","partial","Repair","src/components/common/DeviceTagPrinterModal.tsx:320"
"578","Repair Parts","","partial","Repair","src/components/dashboard/DashboardOverview.tsx:1519"
"579","Repair Summary & Details","","partial","Repair Summary","src/components/portal/CustomerFacingWebPortal.tsx:549"
"580","Repair Update Note *","","partial","Repair","src/components/pipeline/StatusPipelineView.tsx:1060"
"581","Repaired & Delivered Devices (","","partial","Repaired Delivered s","src/components/followup/CompletedDeviceFollowUpModule.tsx:371"
"582","Repairs Count","","partial","Count","src/components/intake/CreateTicketSoloPage.tsx:1041"
"583","Reported issue / Comment","","partial","Reported issue","src/components/common/TicketDetailInspectorModal.tsx:322"
"584","Request Phone Call from Technician","","partial","Request from","src/components/portal/CustomerFacingWebPortal.tsx:1037"
"585","Requested Hardware Service Items","","partial","Requested Hardware Service s","src/components/common/DeviceTagPrinterModal.tsx:311"
"586","Require Device Passcode / PIN at Intake","","partial","Require at Intake","src/components/settings/SystemManagementSettingsModule.tsx:2040"
"587","Require Diode/Thermal Log for Level 3 Board Repairs","","partial","Require Diode Thermal Log for Level Board","src/components/settings/SystemManagementSettingsModule.tsx:3288"
"588","Reset All Filters","","partial","s","src/components/inventory/InventoryManagementModule.tsx:1182"
"589","Reset all statuses and comments","","partial","all statuses and comments","src/components/intake/CreateTicketSoloPage.tsx:1115"
"590","Reset Calculator","","partial","ulator","src/components/prices/QuickPriceCalculatorModal.tsx:701"
"591","Reset Defaults","","partial","Defaults","src/components/prices/PriceSettingsModal.tsx:528; src/components/settings/SystemManagementSettingsModule.tsx:2185; src/components/settings/SystemManagementSettingsModule.tsx:3037"
"592","Restore All","","partial","Restore","src/components/common/RecycleBinModal.tsx:78; src/components/common/RecycleBinModal.tsx:124"
"593","Retail Selling Value","","partial","Retail Value","src/components/finance/ShopFinancePlModule.tsx:768"
"594","Return to Staff ERP","","partial","Return to","src/components/portal/CustomerFacingWebPortal.tsx:242"
"595","Return Tracking / RMA Reference Number","","partial","Reference Number","src/components/inventory/InventoryManagementModule.tsx:2200"
"596","Revenue & Income Stream Analysis","","partial","Stream Analysis","src/components/finance/ShopFinancePlModule.tsx:608"
"597","Revenue & Repairs Trend","","partial","Trend","src/components/dashboard/DashboardOverview.tsx:1624"
"598","Revenue bars and completed repairs line over the selected period","","partial","bars and completed repairs line over the selected period","src/components/dashboard/DashboardOverview.tsx:116"
"599","Revenue generated from screen assemblies, batteries, back glass, and accessory sales.","","partial","generated from screen assemblies batteries back glass and accessory sales","src/components/finance/ShopFinancePlModule.tsx:636"
"600","Revenue minus parts cost","","partial","minus parts cost","src/components/dashboard/DashboardOverview.tsx:1600"
"601","RMA Lead Time:","","partial","Lead","src/components/suppliers/SupplierRmaModule.tsx:406"
"602","Satisfied Customer","","partial","Satisfied","src/components/followup/CompletedDeviceFollowUpModule.tsx:194"
"603","Save & Publish Transition Log","","partial","Publish Transition Log","src/components/common/WorkOrderStatusTimeline.tsx:508"
"604","Save After-Repair Diagnostic & Update Ticket","","partial","After Repair Diagnostic Ticket","src/components/pipeline/StatusPipelineView.tsx:1300"
"605","Save all inline edits","","partial","all inline edits","src/components/inventory/InventoryManagementModule.tsx:1034"
"606","Save Board Worksheet","","partial","Board Worksheet","src/components/microsoldering/MicroSolderingModule.tsx:160"
"607","Save Follow-Up Log","","partial","Log","src/components/followup/CompletedDeviceFollowUpModule.tsx:779"
"608","Save Hardware Component","","partial","Hardware Component","src/components/inventory/InventoryManagementModule.tsx:1839"
"609","Save Repair Log","","partial","Repair Log","src/components/pipeline/StatusPipelineView.tsx:1074"
"610","Save Shop Settings","","partial","Shop","src/components/settings/SystemManagementSettingsModule.tsx:1577"
"611","Save Tier Name","","partial","Tier","src/components/inventory/InventoryManagementModule.tsx:2482"
"612","Saved bin names appear when registering or editing inventory parts.","","partial","names appear when registering or editing inventory parts","src/components/settings/SystemManagementSettingsModule.tsx:2519"
"613","Scan barcode — or type SKU then press Enter","","partial","or type then press Enter","src/components/inventory/InventoryManagementModule.tsx:1138"
"614","Scan Device Barcode or QR Code","","partial","or Code","src/components/intake/IntakeWorkOrderModule.tsx:297"
"615","Scannable IMEI & QR Tracking","","partial","nable Tracking","src/components/settings/SystemManagementSettingsModule.tsx:2775"
"616","Scanned Tickets","","partial","ned Tickets","src/components/dashboard/DashboardOverview.tsx:1751"
"617","Search analytics queue by order #, customer, model, serial...","","partial","analytics queue by order customer model","src/components/dashboard/DashboardOverview.tsx:1162"
"618","Search archived tickets by WO#, name, model...","","partial","archived tickets by name model","src/components/common/RecycleBinModal.tsx:111"
"619","Search serial, IMEI, model, customer...","","partial","model customer","src/components/devices/DevicesManagementModule.tsx:386"
"620","Search ticket #, customer, device, serial...","","partial","ticket customer device","src/components/dashboard/DashboardOverview.tsx:1792"
"621","Search ticket, customer, device...","","partial","ticket customer device","src/components/followup/CompletedDeviceFollowUpModule.tsx:272"
"622","Search ticket, model, serial, notes...","","partial","ticket model notes","src/components/crm/CustomerRepairTimeline.tsx:190"
"623","Search tickets, parts, customers… (Esc to close)","","partial","Esc to close","src/components/common/GlobalSearchModal.tsx:123"
"624","Search transitions, notes, tech...","","partial","transitions notes tech","src/components/common/WorkOrderStatusTimeline.tsx:524"
"625","Security & Passcode Status","","partial","Security","src/components/crm/CustomerRepairTimeline.tsx:339"
"626","Select a customer to view details.","","partial","a customer to view details","src/components/crm/CrmCustomerPortalModule.tsx:420"
"627","Select a device model first","","partial","a device model first","src/components/intake/CreateTicketSoloPage.tsx:823"
"628","Select a device model first to choose the correct back glass color.","","partial","a device model first to choose the correct back glass color","src/components/inventory/InventoryManagementModule.tsx:1649"
